,Symbol,Name,Sector
0,MMM,3M,Industrials
1,AOS,A. O. Smith,Industrials
2,ABT,Abbott Laboratories,Healthcare
3,ABBV,AbbVie,Healthcare
4,ACN,Accenture,Technology
5,ADBE,Adobe Inc.,Technology
6,AMD,Advanced Micro Devices,Technology
7,AES,AES Corporation,Utilities
8,AFL,Aflac,Financial Services
9,A,Agilent Technologies,Healthcare
10,APD,Air Products,Basic Materials
11,ABNB,Airbnb,Consumer Cyclical
12,AKAM,Akamai Technologies,Technology
13,ALB,Albemarle Corporation,Basic Materials
14,ARE,Alexandria Real Estate Equities,Real Estate
15,ALGN,Align Technology,Healthcare
16,ALLE,Allegion,Industrials
17,LNT,Alliant Energy,Utilities
18,ALL,Allstate,Financial Services
19,GOOGL,Alphabet Inc. (Class A),Communication Services
20,GOOG,Alphabet Inc. (Class C),Communication Services
21,MO,Altria,Consumer Defensive
22,AMZN,Amazon,Consumer Cyclical
23,AMCR,Amcor,Consumer Cyclical
24,AMTM,Amentum,Industrials
25,AEE,Ameren,Utilities
26,AEP,American Electric Power,Utilities
27,AXP,American Express,Financial Services
28,AIG,American International Group,Financial Services
29,AMT,American Tower,Real Estate
30,AWK,American Water Works,Utilities
31,AMP,Ameriprise Financial,Financial Services
32,AME,Ametek,Industrials
33,AMGN,Amgen,Healthcare
34,APH,Amphenol,Technology
35,ADI,Analog Devices,Technology
36,ANSS,Ansys,Technology
37,AON,Aon,Financial Services
38,APA,APA Corporation,Energy
39,AAPL,Apple Inc.,Technology
40,AMAT,Applied Materials,Technology
41,APTV,Aptiv,Consumer Cyclical
42,ACGL,Arch Capital Group,Financial Services
43,ADM,Archer Daniels Midland,Consumer Defensive
44,ANET,Arista Networks,Technology
45,AJG,Arthur J. Gallagher & Co.,Financial Services
46,AIZ,Assurant,Financial Services
47,T,AT&T,Communication Services
48,ATO,Atmos Energy,Utilities
49,ADSK,Autodesk,Technology
50,ADP,Automatic Data Processing,Technology
51,AZO,AutoZone,Consumer Cyclical
52,AVB,AvalonBay Communities,Real Estate
53,AVY,Avery Dennison,Consumer Cyclical
54,AXON,Axon Enterprise,Industrials
55,BKR,Baker Hughes,Energy
56,BALL,Ball Corporation,Consumer Cyclical
57,BAC,Bank of America,Financial Services
58,BAX,Baxter International,Healthcare
59,BDX,Becton Dickinson,Healthcare
60,BBY,Best Buy,Consumer Cyclical
61,TECH,Bio-Techne,Healthcare
62,BIIB,Biogen,Healthcare
63,BLK,BlackRock,Financial Services
64,BX,Blackstone Inc.,Financial Services
65,BK,BNY Mellon,Financial Services
66,BA,Boeing,Industrials
67,BKNG,Booking Holdings,Consumer Cyclical
68,BWA,BorgWarner,Consumer Cyclical
69,BSX,Boston Scientific,Healthcare
70,BMY,Bristol Myers Squibb,Healthcare
71,AVGO,Broadcom,Technology
72,BR,Broadridge Financial Solutions,Technology
73,BRO,Brown & Brown,Financial Services
74,BLDR,Builders FirstSource,Industrials
75,BG,Bunge Global,Consumer Defensive
76,BXP,"BXP, Inc.",Real Estate
77,CHRW,C.H. Robinson,Industrials
78,CDNS,Cadence Design Systems,Technology
79,CZR,Caesars Entertainment,Consumer Cyclical
80,CPT,Camden Property Trust,Real Estate
81,CPB,Campbell Soup Company,Consumer Defensive
82,COF,Capital One,Financial Services
83,CAH,Cardinal Health,Healthcare
84,KMX,CarMax,Consumer Cyclical
85,CCL,Carnival,Consumer Cyclical
86,CARR,Carrier Global,Industrials
87,CTLT,Catalent,Healthcare
88,CAT,Caterpillar Inc.,Industrials
89,CBOE,Cboe Global Markets,Financial Services
90,CBRE,CBRE Group,Real Estate
91,CDW,CDW,Technology
92,CE,Celanese,Basic Materials
93,COR,Cencora,Healthcare
94,CNC,Centene Corporation,Healthcare
95,CNP,CenterPoint Energy,Utilities
96,CF,CF Industries,Basic Materials
97,CRL,Charles River Laboratories,Healthcare
98,SCHW,Charles Schwab Corporation,Financial Services
99,CHTR,Charter Communications,Communication Services
100,CVX,Chevron Corporation,Energy
101,CMG,Chipotle Mexican Grill,Consumer Cyclical
102,CB,Chubb Limited,Financial Services
103,CHD,Church & Dwight,Consumer Defensive
104,CI,Cigna,Healthcare
105,CINF,Cincinnati Financial,Financial Services
106,CTAS,Cintas,Industrials
107,CSCO,Cisco,Technology
108,C,Citigroup,Financial Services
109,CFG,Citizens Financial Group,Financial Services
110,CLX,Clorox,Consumer Defensive
111,CME,CME Group,Financial Services
112,CMS,CMS Energy,Utilities
113,KO,Coca-Cola Company (The),Consumer Defensive
114,CTSH,Cognizant,Technology
115,CL,Colgate-Palmolive,Consumer Defensive
116,CMCSA,Comcast,Communication Services
117,CAG,Conagra Brands,Consumer Defensive
118,COP,ConocoPhillips,Energy
119,ED,Consolidated Edison,Utilities
120,STZ,Constellation Brands,Consumer Defensive
121,CEG,Constellation Energy,Utilities
122,COO,Cooper Companies (The),Healthcare
123,CPRT,Copart,Industrials
124,GLW,Corning Inc.,Technology
125,CPAY,Corpay,Technology
126,CTVA,Corteva,Basic Materials
127,CSGP,CoStar Group,Real Estate
128,COST,Costco,Consumer Defensive
129,CTRA,Coterra,Energy
130,CRWD,CrowdStrike,Technology
131,CCI,Crown Castle,Real Estate
132,CSX,CSX Corporation,Industrials
133,CMI,Cummins,Industrials
134,CVS,CVS Health,Healthcare
135,DHR,Danaher Corporation,Healthcare
136,DRI,Darden Restaurants,Consumer Cyclical
137,DVA,DaVita,Healthcare
138,DAY,Dayforce,Technology
139,DECK,Deckers Brands,Consumer Cyclical
140,DE,Deere & Company,Industrials
141,DELL,Dell Technologies,Technology
142,DAL,Delta Air Lines,Industrials
143,DVN,Devon Energy,Energy
144,DXCM,Dexcom,Healthcare
145,FANG,Diamondback Energy,Energy
146,DLR,Digital Realty,Real Estate
147,DFS,Discover Financial,Financial Services
148,DG,Dollar General,Consumer Defensive
149,DLTR,Dollar Tree,Consumer Defensive
150,D,Dominion Energy,Utilities
151,DPZ,Domino's,Consumer Cyclical
152,DOV,Dover Corporation,Industrials
153,DOW,Dow Inc.,Basic Materials
154,DHI,D. R. Horton,Consumer Cyclical
155,DTE,DTE Energy,Utilities
156,DUK,Duke Energy,Utilities
157,DD,DuPont,Basic Materials
158,EMN,Eastman Chemical Company,Basic Materials
159,ETN,Eaton Corporation,Industrials
160,EBAY,eBay,Consumer Cyclical
161,ECL,Ecolab,Basic Materials
162,EIX,Edison International,Utilities
163,EW,Edwards Lifesciences,Healthcare
164,EA,Electronic Arts,Communication Services
165,ELV,Elevance Health,Healthcare
166,EMR,Emerson Electric,Industrials
167,ENPH,Enphase Energy,Technology
168,ETR,Entergy,Utilities
169,EOG,EOG Resources,Energy
170,EPAM,EPAM Systems,Technology
171,EQT,EQT Corporation,Energy
172,EFX,Equifax,Industrials
173,EQIX,Equinix,Real Estate
174,EQR,Equity Residential,Real Estate
175,ERIE,Erie Indemnity,Financial Services
176,ESS,Essex Property Trust,Real Estate
177,EL,Estée Lauder Companies (The),Consumer Defensive
178,EG,Everest Group,Financial Services
179,EVRG,Evergy,Utilities
180,ES,Eversource Energy,Utilities
181,EXC,Exelon,Utilities
182,EXPE,Expedia Group,Consumer Cyclical
183,EXPD,Expeditors International,Industrials
184,EXR,Extra Space Storage,Real Estate
185,XOM,ExxonMobil,Energy
186,FFIV,"F5, Inc.",Technology
187,FDS,FactSet,Financial Services
188,FICO,Fair Isaac,Technology
189,FAST,Fastenal,Industrials
190,FRT,Federal Realty Investment Trust,Real Estate
191,FDX,FedEx,Industrials
192,FIS,Fidelity National Information Services,Technology
193,FITB,Fifth Third Bancorp,Financial Services
194,FSLR,First Solar,Technology
195,FE,FirstEnergy,Utilities
196,FI,Fiserv,Technology
197,FMC,FMC Corporation,Basic Materials
198,F,Ford Motor Company,Consumer Cyclical
199,FTNT,Fortinet,Technology
200,FTV,Fortive,Technology
201,FOXA,Fox Corporation (Class A),Communication Services
202,FOX,Fox Corporation (Class B),Communication Services
203,BEN,Franklin Resources,Financial Services
204,FCX,Freeport-McMoRan,Basic Materials
205,GRMN,Garmin,Technology
206,IT,Gartner,Technology
207,GE,GE Aerospace,Industrials
208,GEHC,GE HealthCare,Healthcare
209,GEV,GE Vernova,Utilities
210,GEN,Gen Digital,Technology
211,GNRC,Generac,Industrials
212,GD,General Dynamics,Industrials
213,GIS,General Mills,Consumer Defensive
214,GM,General Motors,Consumer Cyclical
215,GPC,Genuine Parts Company,Consumer Cyclical
216,GILD,Gilead Sciences,Healthcare
217,GPN,Global Payments,Industrials
218,GL,Globe Life,Financial Services
219,GDDY,GoDaddy,Technology
220,GS,Goldman Sachs,Financial Services
221,HAL,Halliburton,Energy
222,HIG,Hartford (The),Financial Services
223,HAS,Hasbro,Consumer Cyclical
224,HCA,HCA Healthcare,Healthcare
225,DOC,Healthpeak Properties,Real Estate
226,HSIC,Henry Schein,Healthcare
227,HSY,Hershey Company (The),Consumer Defensive
228,HES,Hess Corporation,Energy
229,HPE,Hewlett Packard Enterprise,Technology
230,HLT,Hilton Worldwide,Consumer Cyclical
231,HOLX,Hologic,Healthcare
232,HD,Home Depot (The),Consumer Cyclical
233,HON,Honeywell,Industrials
234,HRL,Hormel Foods,Consumer Defensive
235,HST,Host Hotels & Resorts,Real Estate
236,HWM,Howmet Aerospace,Industrials
237,HPQ,HP Inc.,Technology
238,HUBB,Hubbell Incorporated,Industrials
239,HUM,Humana,Healthcare
240,HBAN,Huntington Bancshares,Financial Services
241,HII,Huntington Ingalls Industries,Industrials
242,IBM,IBM,Technology
243,IEX,IDEX Corporation,Industrials
244,IDXX,Idexx Laboratories,Healthcare
245,ITW,Illinois Tool Works,Industrials
246,INCY,Incyte,Healthcare
247,IR,Ingersoll Rand,Industrials
248,PODD,Insulet Corporation,Healthcare
249,INTC,Intel,Technology
250,ICE,Intercontinental Exchange,Financial Services
251,IFF,International Flavors & Fragrances,Basic Materials
252,IP,International Paper,Consumer Cyclical
253,IPG,Interpublic Group of Companies (The),Communication Services
254,INTU,Intuit,Technology
255,ISRG,Intuitive Surgical,Healthcare
256,IVZ,Invesco,Financial Services
257,INVH,Invitation Homes,Real Estate
258,IQV,IQVIA,Healthcare
259,IRM,Iron Mountain,Real Estate
260,JBHT,J.B. Hunt,Industrials
261,JBL,Jabil,Technology
262,JKHY,Jack Henry & Associates,Technology
263,J,Jacobs Solutions,Industrials
264,JNJ,Johnson & Johnson,Healthcare
265,JCI,Johnson Controls,Industrials
266,JPM,JPMorgan Chase,Financial Services
267,JNPR,Juniper Networks,Technology
268,K,Kellanova,Consumer Defensive
269,KVUE,Kenvue,Consumer Defensive
270,KDP,Keurig Dr Pepper,Consumer Defensive
271,KEY,KeyCorp,Financial Services
272,KEYS,Keysight Technologies,Technology
273,KMB,Kimberly-Clark,Consumer Defensive
274,KIM,Kimco Realty,Real Estate
275,KMI,Kinder Morgan,Energy
276,KKR,KKR,Financial Services
277,KLAC,KLA Corporation,Technology
278,KHC,Kraft Heinz,Consumer Defensive
279,KR,Kroger,Consumer Defensive
280,LHX,L3Harris,Industrials
281,LH,LabCorp,Healthcare
282,LRCX,Lam Research,Technology
283,LW,Lamb Weston,Consumer Defensive
284,LVS,Las Vegas Sands,Consumer Cyclical
285,LDOS,Leidos,Technology
